neighborhood,latitude,longitude
chacara cruzeiro do sul,-23.511539999999968,-46.532479999999964
vila nova york,-23.575759999999946,-46.504299999999944
vila beatriz,-23.527279999999962,-46.533559999999966
jardim nazareth,-23.517169999999965,-46.406169999999975
conjunto residencial jose bonifacio,-23.547559999999976,-46.43444999999997
vila zat,-23.47532999999993,-46.71312999999998
vila mafra,-23.559349999999938,-46.54788999999994
parque do carmo,-23.560599999999965,-46.46034999999995
brooklin,-23.61985999999996,-46.69370999999995
vila castelo,-23.67524999999995,-46.670079999999984
vila zilda,-23.493169613192645,-46.661958576347054
panamby,-23.51908999999995,-46.667329999999936
jardim das gracas,-23.507319999999936,-46.68434999999994
vila regente feijo,-23.55917999999997,-46.568469999999934
chacara seis de outubro,-23.53392999999994,-46.53270999999995
vila industrial,-23.606919999999946,-46.534899999999936
casa verde alta,-23.490639999999928,-46.66372999999993
ipiranga,-23.589279999999974,-46.603729999999985
jardim casa pintada,-23.51043999999996,-46.44578999999993
jardim monte alegre,-23.475529999999935,-46.70229999999998
vila sao silvestre,-23.498009999999965,-46.44462999999996
jardim paraiso,-23.57550999999995,-46.650259999999946
vila santa maria,-23.489529999999945,-46.67284999999998
jardim ampliacao,-23.627009999999927,-46.73049999999995
jardim adhemar de barros,-23.577549999999974,-46.73031999999995
pari,-23.529519999999934,-46.614409999999964
vila esperanca,-23.52616999999998,-46.52553999999998
vila taquari,-23.52446999999995,-46.45268999999996
vila mariana,-23.584529999999972,-46.63810999999998
vila arcadia,-23.504639999999938,-46.70035999999993
vila carmem,-23.74206349105507,-46.660251407071655
vila santa isabel,-23.55761999999993,-46.53679999999997
vila maria,-23.51971999999995,-46.588619999999935
vila gomes,-23.576649999999972,-46.734459999999956
parque nacoes unidas,-23.44477999999998,-46.73578999999995
jardim itapemirim,-23.53257999999994,-46.45873999999998
consolacao,-23.555199999999957,-46.65712999999994
moema,-23.606049999999982,-46.66366999999997
jardim esmeralda,-23.57502999999997,-46.75688999999994
jardim raposo tavares,-23.587249999999983,-46.76243999999997
vila moraes,-23.627279999999928,-46.60630999999995
vila bruna,-23.568340536231116,-46.559785158984454
jardim das bandeiras,-23.552619999999933,-46.68551999999994
jardim soares,-23.54953999999998,-46.40357999999998
recanto paraiso,-23.574959999999976,-46.64186999999998
cidade dos bandeirantes,-23.583289999999977,-46.74846999999994
raposo tavares,-23.587309999999945,-46.78054999999995
nucleo do engordador,-23.428695322807574,-46.59860710475067
bela vista,-23.560009999999977,-46.64522999999997
cambuci,-23.563369999999964,-46.61991999999998
parque fongaro,-23.633209999999963,-46.59329999999994
jardim do colegio,-23.67656999999997,-46.77816999999993
jardim felicidade,-23.49252999999993,-46.72620999999998
vila dionisia,-23.466959999999972,-46.66447999999997
jardim consorcio,-23.47235999999998,-46.58517999999998
guaianazes,-23.576559999999972,-46.40717999999998
jardim leonor mendes de barros,-23.464349999999968,-46.60974999999996
jardim dona sinha,-23.599159999999983,-46.50787999999994
vila cosmopolita,-23.560659999999928,-46.423359999999946
jardim claudia,-23.58720999999997,-46.77169999999995
vila salete,-23.51821999999993,-46.529319999999984
cidade lider,-23.55842999999993,-46.477259999999944
vila canero,-23.57013999999998,-46.57090999999997
campos eliseos,-23.53347999999994,-46.64451999999994
parque vila maria,-23.505259999999964,-46.569999999999936
jardim novo santo amaro,-23.66674999999998,-46.73950999999994
vila do castelo,-23.67524999999995,-46.670079999999984
instituto de previdencia,-23.578599999999938,-46.72282999999993
vila sao vicente,-23.49479999999994,-46.695829999999944
chacara inglesa,-23.60830999999996,-46.63399999999996
vila amalia,-23.692856274512202,-46.640265487261004
jardim paris,-23.638539999999978,-46.77009999999996
vila brasilio machado,-23.610649999999964,-46.61361999999997
jaguare,-23.54207999999994,-46.747919999999965
vila aurora,-23.47721999999993,-46.624379999999974
parque sao jorge,-23.530099999999948,-46.565489999999954
jardim belgica,-23.66053999999997,-46.69975999999997
jardim brasilia,-23.44182999999998,-46.708339999999964
vila progredior,-23.58902999999998,-46.718579999999974
vila re,-23.525789999999972,-46.49988999999994
tremembe,-23.46219999999994,-46.624229999999955
vila liviero,-23.644709999999975,-46.589279999999974
santana,-23.49643999999995,-46.62925999999993
vila clementino,-23.598359999999957,-46.64370999999994
lajeado,-23.540159999999958,-46.39572999999996
jardim patente novo,-23.627239999999972,-46.58488999999997
jardim marajoara,-23.655339999999967,-46.682549999999935
vila brasilina,-23.62887999999998,-46.61388999999997
vila dom pedro ii,-23.489919999999927,-46.604469999999935
parque casa de pedra,-23.45211999999998,-46.60122999999993
jardim marilu,-23.608649999999955,-46.425959999999975
jardim julieta,-23.487709999999936,-46.564709999999934
guapira,-23.47632203850805,-46.59522428133742
vila carioca,-23.680559954922906,-46.6471649038825
rio pequeno,-23.565339999999935,-46.755709999999965
conjunto residencial vista verde,-23.47536999999994,-46.75105999999994
jardim vitoria,-23.660349999999937,-46.67240999999996
agua branca,-23.515299999999968,-46.693239999999946
loteamento city jaragua,-23.45766999999995,-46.743709999999965
vila nova savoia,-23.541849999999954,-46.51695999999998
parque das arvores,-23.730719999999963,-46.69527999999997
jardim japao,-23.505439999999965,-46.57565999999997
jardim arize,-23.56043999999997,-46.50983999999994
butanta,-23.570889999999963,-46.709679999999935
cangaiba,-23.506019999999978,-46.528219999999976
jardim vertentes,-23.58875999999998,-46.74200999999994
jardim vila mariana,-23.591659999999933,-46.62429999999995
conjunto residencial ingai,-23.697469999999953,-46.64179999999993
jardim das vertentes,-23.58875999999998,-46.74200999999994
belenzinho,-23.541729999999973,-46.59445999999997
sumare,-23.542979999999943,-46.68545999999998
vila monumento,-23.57565999999997,-46.615219999999965
vila natalia,-23.62538999999998,-46.59768999999994
parque reboucas,-23.627509999999972,-46.749679999999955
jardim martini,-23.679079999999942,-46.66800999999998
jardim itapeva,-23.47909999999996,-46.74499999999995
vila mirante,-23.468479999999943,-46.722069999999974
conjunto habitacional brigadeiro faria lima,-23.47473999999994,-46.75679999999994
parque fernanda,-23.671989999999937,-46.79190999999997
bom retiro,-23.524509999999964,-46.640709999999956
parque monteiro soares,-23.49028999999996,-46.694099999999935
vila campo grande,-23.677569999999946,-46.67696999999998
vila sonia,-23.594569999999976,-46.73132999999996
vila renato,-23.470879999999966,-46.71769999999998
jardim ester yolanda,-23.578679999999963,-46.76121999999998
vila ede,-23.493289999999945,-46.593069999999955
parque cruzeiro do sul,-23.494599999999934,-46.461329999999975
vila formosa,-23.566419999999937,-46.539399999999944
vila buenos aires,-23.509949999999947,-46.51283999999998
jardim fonte do morumbi,-23.62800999999996,-46.72103999999996
itaberaba,-23.486319999999978,-46.69245999999998
"sao paulo centro, sao paulo",-23.547499999999957,-46.636109999999974
vila da paz,-23.692519999999945,-46.695829999999944
parque industrial tomas edson,-23.51956999999993,-46.67391999999995
jardim umarizal,-23.62220999999994,-46.754989999999964
jardim avelino,-23.58746999999994,-46.568829999999934
conjunto habitacional barro branco ii,-23.584859999999935,-46.391479999999945
vila paranagua,-23.497559999999964,-46.474339999999984
chacara flora,-23.648349999999937,-46.684879999999964
jardim sarah,-23.57469999999995,-46.761739999999975
jardim adelfiore,-23.411099999999976,-46.737679999999955
cidade mae do ceu,-23.54431999999997,-46.57705999999996
vila sao pedro,-23.669149999999945,-46.68731999999994
sao miguel paulista,-23.49357999999995,-46.444909999999936
vila anhanguera,-23.66379999999998,-46.69440999999995
jardim centenario,-23.471139999999934,-46.66838999999993
jardim taipas,-23.433109999999942,-46.731469999999945
vila arapua,-23.634499999999946,-46.58959999999996
vila boacava,-23.484429999999975,-46.74919999999997
vila barreto,-23.485769999999945,-46.72201999999993
santa etelvina,-23.585870318600143,-46.4045791220754
brooklin paulista,-23.61689999999993,-46.679269999999974
paraisopolis,-23.614719999999977,-46.72564999999997
jardim bom refugio,-23.63313999999997,-46.77497999999997
jardim primavera,-23.48705999999993,-46.678319999999985
morro dos ingleses,-23.56114732535841,-46.646889145807755
conjunto habitacional brigadeiro eduardo gomes,-23.47473999999994,-46.75679999999994
vila nova conceicao,-23.59182999999996,-46.672459999999944
