neighborhood,latitude,longitude
chacara tatuape,-23.536029999999982,-46.57543999999996
jardim da campina,-23.770309999999938,-46.70593999999994
vila graciosa,-23.600749999999948,-46.63108999999997
piqueri,-23.50156999999996,-46.71124999999995
vila santa teresa,-23.53795999999994,-46.49508999999995
jardim macedonia,-23.65265999999997,-46.788479999999936
jardim aeroporto,-23.63456999999994,-46.663009999999986
jardim da gloria,-23.580799999999954,-46.61955999999998
vila paiva,-23.501909999999953,-46.60547999999994
vila divina pastora,-23.594879999999932,-46.54064999999997
vila granada,-23.521909999999934,-46.51551999999998
parque paineiras,-23.537259999999947,-46.479359999999986
mirandopolis,-23.607489999999927,-46.64161999999993
jardim sao saverio,-23.656579999999963,-46.61347999999998
vila siqueira,-23.463539999999966,-46.70235999999994
belem,-23.53804999999994,-46.59591999999998
brooklin novo,-23.602179999999976,-46.691629999999975
aclimacao,-23.571609999999964,-46.63329999999996
jardim ester,-23.583199999999977,-46.76196999999996
jardim imbe,-23.67632999999995,-46.76539999999994
vila ivone,-23.579309999999964,-46.552269999999965
aricanduva,-23.567709999999977,-46.510249999999985
mooca,-23.559589999999957,-46.60380999999995
jardim santa monica,-23.47962999999993,-46.74870999999996
vila inglesa,-23.665329999999983,-46.67266999999998
jardim angela,-23.69802999999996,-46.77920999999998
jordanopolis,-23.73145999999997,-46.70056999999997
jardim catanduva,-23.63030999999995,-46.76333999999997
conjunto residencial morada do sol,-23.253939999999943,-45.91627999999997
super quadra morumbi,-23.618486687196672,-46.69884295953932
interlagos,-23.700629999999933,-46.702579999999955
jardim helian,-23.580829999999935,-46.44820999999996
parque vitoria,-23.471139999999934,-46.59334999999993
vila maria alta,-23.503379999999936,-46.58633999999995
perdizes,-23.540569999999946,-46.67235999999997
vila albertina,-23.502369999999928,-46.69110999999998
vila moreira,-23.525099999999952,-46.56221999999997
jardim dracena,-23.59403999999995,-46.760189999999966
jardim adutora,-23.617879999999957,-46.50706999999994
parque dos principes,-23.572589999999934,-46.77019999999993
cidade sao francisco,-23.55911999999995,-46.75416999999993
vila basileia,-23.477668123614098,-46.64860878817649
vila carlos de campos,-23.526315230507915,-46.6115473667932
vila emir,-23.691689999999937,-46.67879999999997
vila andrade,-23.633269999999982,-46.73700999999994
vila baruel,-23.50443999999993,-46.657809999999984
vila uberabinha,-23.60077999999993,-46.67093999999997
vila chavantes,-23.51481999999993,-46.44261999999998
jardim d abril,-23.574569999999937,-46.77992999999998
vila polopoli,-23.57532999999995,-46.747289999999964
vila indiana,-23.57147999999995,-46.72731999999996
jardim ivana,-23.568379999999934,-46.75225999999998
vila sao geraldo,-23.517309999999952,-46.54355999999996
parque dos bancarios,-23.594779999999957,-46.51446999999996
jardim andarai,-23.51867999999996,-46.57744999999994
vila do encontro,-23.655269999999973,-46.63895999999994
santa efigenia,-23.53804999999994,-46.63820999999996
itaim paulista,-23.50160999999997,-46.394709999999975
jardim santa terezinha,-23.696729999999945,-46.64451999999994
jardim colonial,-23.725299999999947,-46.68869999999998
parque continental,-23.54258999999996,-46.75748999999996
vila gustavo,-23.48383999999993,-46.59510999999998
conjunto habitacional santa etelvina ii,-23.594019999999944,-46.41042999999996
vila olimpia,-23.595379999999977,-46.684199999999976
parque arariba,-23.64312999999993,-46.75136999999995
pompeia,-23.532389999999964,-46.686829999999986
jardim sao ricardo,-23.496399999999937,-46.72237999999993
chacara mafalda,-23.571749999999952,-46.55508999999995
jardim franca,-23.47661999999997,-46.61555999999996
vila carbone,-23.493349999999964,-46.68158999999997
cidade ademar,-23.670849999999973,-46.65762999999998
conjunto habitacional fazenda do carmo,-23.564589999999953,-46.41791999999998
lapa de baixo,-23.51574999999997,-46.70261999999997
jardim universidade pinheiros,-23.561999999999955,-46.68596999999994
vila portugal,-23.495109999999954,-46.715629999999976
sacoma,-23.61292999999995,-46.597219999999936
jardim leonor,-23.59710999999993,-46.72347999999994
vila bancaria,-23.59045999999995,-46.521169999999984
vila nova cachoeirinha,-23.47253999999998,-46.66011999999995
engenheiro goulart,-23.500639999999976,-46.51617999999996
vila santana,-23.51825999999994,-46.533369999999934
jardim santa emilia,-23.64399999999995,-46.59901999999994
jardim sao joao,-23.54729999999995,-46.42497999999995
vila dos remedios,-23.516459999999938,-46.74927999999994
vila curuca,-23.50359999999995,-46.423239999999964
vila penteado,-23.471349999999973,-46.68142999999998
vila caiuba,-23.53808041598465,-46.67531633948253
jardim tres marias,-23.60881999999998,-46.46972999999997
jardim belem,-23.489749999999958,-46.47782999999998
fazenda morumbi,-23.614899999999977,-46.71749999999997
jardim das palmas,-23.617989999999963,-46.751529999999946
vila pereira cerca,-23.495089999999948,-46.71222999999998
parque da vila prudente,-23.587769999999978,-46.57908999999995
vila vera,-23.621869999999944,-46.60449999999997
vila vitorio mazzei,-23.496773172845923,-46.604600488544165
jardim independencia,-23.587159999999983,-46.55834999999996
jardim ubirajara,-23.686189999999954,-46.67039999999997
vila constanca,-23.669989999999927,-46.67342999999994
jardim nova germania,-23.579759573515165,-46.692797941509674
vila centenario,-23.526929999999936,-46.53104999999994
vila cordeiro,-23.618109999999945,-46.690679999999986
jardim colombo,-23.60400999999996,-46.73064999999997
sitio areiao,-23.41408999999993,-46.740209999999934
cidade dutra,-23.711959999999976,-46.70392999999996
vila congonhas,-23.62827999999996,-46.664399999999944
vila clarice,-23.468369999999936,-46.748789999999985
vila antonina,-23.554479999999955,-46.55153999999993
chora menino,-23.49133999999998,-46.64188999999993
vila guedes,-23.494429999999966,-46.75020999999998
vila carmosina,-23.55511999999993,-46.454609999999946
freguesia do o,-23.49876999999998,-46.69982999999996
vila roque,-23.47786999999994,-46.65387999999996
vila paulo silas,-23.591439999999977,-46.54539999999997
parque colonial,-23.603129999999965,-46.47256999999996
jardim vila formosa,-23.566589999999962,-46.522099999999966
jardim vazani,-23.60907999999995,-46.744329999999934
vila california,-23.608239999999967,-46.55764999999997
vila pereira barreto,-23.49127999999996,-46.71847999999994
parque da mooca,-23.569659999999942,-46.58958999999993
vila gomes cardim,-23.547909999999945,-46.561469999999986
vila irmaos arnoni,-23.451079999999934,-46.623519999999985
ponte pequena,-23.67577968758258,-46.797808079550634
catumbi,-23.535679999999957,-46.60140999999993
jardim leonidas moreira,-23.642299999999977,-46.77615999999995
parque sao luis,-23.48091999999997,-46.68912999999998
cidade moncoes,-23.605479999999943,-46.69489999999996
jardim textil,-23.55765999999994,-46.546149999999955
campininha,-23.589729999999975,-47.17521999999997
vila azevedo,-23.542179999999973,-46.57278999999994
vila pauliceia,-23.60096999999996,-46.52939999999995
jardim santa ines,-13.299999999999955,-39.883329999999944
vila lucia elvira,-23.59409999999997,-46.57174999999995
vila raquel,-23.666248430585696,-46.66305871627999
