,latitude,longitude,squared_meters,bedrooms,bathrooms,suites,parking_spaces,estimated_price
0,-23.560009999999977,-46.64522999999997,167.0,3.0,2.0,0.0,1.0,1033.4031219246572
1,-23.56199999999995,-46.685969999999934,50.0,1.0,1.0,0.0,1.0,364.9817832809829
2,-23.607489999999927,-46.64161999999993,83.0,3.0,2.0,1.0,1.0,587.4391007230042
3,-23.49533999999995,-46.67474999999996,98.0,3.0,2.0,0.0,2.0,823.1077596204906
4,-23.496439999999946,-46.62925999999993,192.0,4.0,4.0,2.0,2.0,1492.8132512939883
5,-23.479099999999963,-46.744999999999955,82.0,3.0,2.0,1.0,1.0,637.7249980139411
6,-23.545229999999947,-46.659749999999974,256.0,3.0,2.0,1.0,2.0,1705.587966790369
7,-23.54056999999995,-46.67235999999997,140.0,4.0,2.0,0.0,2.0,1036.6231895289554
8,-23.55958999999996,-46.60380999999995,75.0,3.0,2.0,0.0,1.0,505.63519630857667
9,-23.645529999999948,-46.66798999999998,67.0,2.0,2.0,0.0,2.0,658.9130723553807
10,-23.559179999999966,-46.568469999999934,165.0,4.0,3.0,0.0,3.0,1349.524906012721
11,-23.559179999999966,-46.568469999999934,105.0,3.0,2.0,1.0,3.0,980.4891767235232
12,-22.012589999999925,-47.87656999999996,53.0,2.0,1.0,0.0,1.0,1011.3184342892334
13,-23.545229999999947,-46.659749999999974,315.0,4.0,2.0,0.0,2.0,1995.0016858515526
14,-23.590469999999986,-46.58547999999996,49.0,2.0,1.0,0.0,1.0,293.2902174475364
15,-23.47441999999995,-46.63478999999995,49.0,2.0,1.0,0.0,1.0,321.8066587280707
16,-23.477219999999928,-46.624379999999974,164.0,3.0,3.0,0.0,2.0,1236.6969555225646
17,-23.633269999999985,-46.737009999999934,300.0,4.0,5.0,3.0,4.0,2538.1087887453205
18,-23.54776999999996,-46.58320999999995,91.0,3.0,2.0,1.0,2.0,757.8138737945465
19,-23.55519999999996,-46.65712999999993,75.0,2.0,2.0,0.0,1.0,547.5506657338204
20,-23.572349999999968,-46.66084999999998,193.0,3.0,3.0,1.0,1.0,1278.7654911716254
21,-23.60077999999993,-46.67093999999997,142.0,4.0,3.0,0.0,4.0,1425.379666018492
22,-23.529849999999954,-46.71808999999996,104.0,3.0,4.0,1.0,2.0,1045.3141132626085
23,-23.653099999999935,-46.706309999999974,75.0,3.0,1.0,0.0,2.0,632.397819503494
24,-23.535919999999976,-46.65774999999997,317.0,4.0,5.0,4.0,5.0,2769.633664737714
